id,title,closed
932497,"Bitcoin Up or Down - December 15, 7:45AM-8:00AM ET",True
930746,"Bitcoin Up or Down - December 14, 9:00PM-9:15PM ET",True
930823,"Bitcoin Up or Down - December 14, 9:15PM-9:30PM ET",True
928864,"Bitcoin Up or Down - December 14, 2:00PM-2:15PM ET",True
930528,"Bitcoin Up or Down - December 14, 7:30PM-7:45PM ET",True
918899,"Bitcoin Up or Down - December 14, 3AM ET",True
931912,"Bitcoin Up or Down - December 15, 4:00AM-8:00AM ET",True
931916,"Bitcoin Up or Down - December 15, 4:00AM-4:15AM ET",True
929403,"Bitcoin Up or Down - December 14, 3:30PM-3:45PM ET",True
928477,"Bitcoin Up or Down - December 14, 1:00PM-1:15PM ET",True
925583,"Bitcoin Up or Down - December 14, 3:15AM-3:30AM ET",True
932511,"Bitcoin Up or Down - December 15, 8:00AM-8:15AM ET",True
929420,"Bitcoin Up or Down - December 14, 4:00PM-4:15PM ET",True
931873,"Bitcoin Up or Down - December 15, 3:30AM-3:45AM ET",True
929410,"Bitcoin Up or Down - December 14, 3:45PM-4:00PM ET",True
929160,"Bitcoin Up or Down - December 14, 3:00PM-3:15PM ET",True
930315,"Bitcoin Up or Down - December 14, 6:45PM-7:00PM ET",True
930923,"Bitcoin Up or Down - December 14, 10:00PM-10:15PM ET",True
925523,"Bitcoin Up or Down - December 14, 3:00AM-3:15AM ET",True
931876,"Bitcoin Up or Down - December 15, 3:45AM-4:00AM ET",True
929856,"Bitcoin Up or Down - December 14, 5:15PM-5:30PM ET",True
930540,"Bitcoin Up or Down - December 14, 8:00PM-12:00AM ET",True
921178,"Bitcoin Up or Down - December 14, 2PM ET",True
929707,"Bitcoin Up or Down - December 14, 4:45PM-5:00PM ET",True
926753,"Bitcoin Up or Down - December 15, 8AM ET",True
929704,"Bitcoin Up or Down - December 14, 4:30PM-4:45PM ET",True
927640,"Bitcoin Up or Down - December 14, 10:45AM-11:00AM ET",True
926477,"Bitcoin Up or Down - December 14, 6:45AM-7:00AM ET",True
926241,"Bitcoin Up or Down - December 15, 6AM ET",True
931969,"Bitcoin Up or Down - December 15, 4:15AM-4:30AM ET",True
929488,"Bitcoin Up or Down - December 14, 4:15PM-4:30PM ET",True
925997,"Bitcoin Up or Down - December 14, 4:30AM-4:45AM ET",True
928773,"Bitcoin Up or Down - December 14, 1:30PM-1:45PM ET",True
932495,"Bitcoin Up or Down - December 15, 7:30AM-7:45AM ET",True
929416,"Bitcoin Up or Down - December 14, 4:00PM-8:00PM ET",True
930045,"Bitcoin Up or Down - December 14, 5:30PM-5:45PM ET",True
939863,"Bitcoin Up or Down - December 16, 6:00AM-6:15AM ET",False
933493,"Bitcoin Up or Down - December 15, 12:00PM-4:00PM ET",False
936991,"Bitcoin Up or Down - December 15, 5:15PM-5:30PM ET",False
939873,"Bitcoin Up or Down - December 16, 6:15AM-6:30AM ET",False
939510,"Bitcoin Up or Down - December 16, 2:30AM-2:45AM ET",False
933187,"Bitcoin Up or Down - December 15, 10:30AM-10:45AM ET",False
928041,"Bitcoin Up or Down - December 15, 12PM ET",False
939160,"Bitcoin Up or Down - December 17, 12AM ET",False
938269,"Bitcoin Up or Down - December 15, 7:15PM-7:30PM ET",False
933192,"Bitcoin Up or Down - December 15, 10:45AM-11:00AM ET",True
933898,"Bitcoin Up or Down - December 15, 1:15PM-1:30PM ET",False
940206,"Bitcoin Up or Down - December 16, 8:30AM-8:45AM ET",False
940331,"Bitcoin Up or Down - December 16, 8:45AM-9:00AM ET",False
939299,"Bitcoin Up or Down - December 16, 12:45AM-1:00AM ET",False
939087,"Bitcoin Up or Down - December 15, 11:15PM-11:30PM ET",False
940015,"Bitcoin Up or Down - December 16, 7:15AM-7:30AM ET",False
939942,"Bitcoin Up or Down - December 17, 7AM ET",False
934835,"Bitcoin Up or Down - December 15, 2:15PM-2:30PM ET",False
936856,"Bitcoin Up or Down - December 15, 5:00PM-5:15PM ET",False
932507,"Bitcoin Up or Down - December 15, 8:00AM-12:00PM ET",True
939604,"Bitcoin Up or Down - December 16, 3:15AM-3:30AM ET",False
939522,"Bitcoin Up or Down - December 16, 3:00AM-3:15AM ET",False
932997,"Bitcoin Up or Down - December 15, 10:00AM-10:15AM ET",True
929412,"Bitcoin Up or Down - December 15, 4PM ET",False
933093,"Bitcoin Up or Down - December 15, 10:15AM-10:30AM ET",True
938897,"Bitcoin Up or Down - December 15, 10:15PM-10:30PM ET",False
938574,"Bitcoin Up or Down - December 15, 8:45PM-9:00PM ET",False
937531,"Bitcoin Up or Down - December 15, 6:00PM-6:15PM ET",False
938770,"Bitcoin Up or Down - December 15, 9:45PM-10:00PM ET",False
928042,Bitcoin Up or Down on December 15?,False
938617,"Bitcoin Up or Down - December 15, 9:00PM-9:15PM ET",False
941752,"Bitcoin Up or Down - December 16, 12:30PM-12:45PM ET",False
928779,"Bitcoin Up or Down - December 15, 2PM ET",False
933695,"Bitcoin Up or Down - December 16, 1PM ET",False
940836,"Bitcoin Up or Down - December 16, 10:00AM-10:15AM ET",False
933268,"Bitcoin Up or Down - December 15, 11:15AM-11:30AM ET",True
928777,"Bitcoin Up or Down - December 14, 1:45PM-2:00PM ET",True
933477,"Bitcoin Up or Down - December 15, 11:30AM-11:45AM ET",True
930734,"Bitcoin Up or Down - December 14, 8:30PM-8:45PM ET",True
927008,"Bitcoin Up or Down - December 15, 9AM ET",True
929127,"Bitcoin Up or Down - December 14, 2:30PM-2:45PM ET",True
933202,"Bitcoin Up or Down - December 15, 11:00AM-11:15AM ET",True
927283,"Bitcoin Up or Down - December 15, 10AM ET",True
933482,"Bitcoin Up or Down - December 15, 11:45AM-12:00PM ET",True
933496,"Bitcoin Up or Down - December 15, 12:00PM-12:15PM ET",True
933563,"Bitcoin Up or Down - December 15, 12:15PM-12:30PM ET",True
937677,"Bitcoin Up or Down - December 15, 6:15PM-6:30PM ET",False
938150,"Bitcoin Up or Down - December 15, 7:00PM-7:15PM ET",False
939700,"Bitcoin Up or Down - December 16, 4:15AM-4:30AM ET",False
939859,"Bitcoin Up or Down - December 16, 4:30AM-4:45AM ET",False
933692,"Bitcoin Up or Down - December 15, 12:45PM-1:00PM ET",False
